Position;Compound
B9;6_ArchazolidB.1
D2;6_ArchazolidB.2
E6;6_ArchazolidB.3
F4;6_ArchazolidB.4
B3;6_CCCP.1
D6;6_CCCP.2
F9;6_CCCP.3
G3;6_CCCP.4
B6;6_Chelerythrine.1
D10;6_Chelerythrine.2
F2;6_Chelerythrine.3
G6;6_Chelerythrine.4
B8;6_ChivosazolA.1
D11;6_ChivosazolA.2
F3;6_ChivosazolA.3
G7;6_ChivosazolA.4
B4;6_DMP.1
D8;6_DMP.2
F10;6_DMP.3
G4;6_DMP.4
C3;6_DMSO_C3
C8;6_DMSO_C8
E5;6_DMSO_E5
E9;6_DMSO_E9
G11;6_DMSO_G11
C5;6_DM_SOst.1
C10;6_DM_SOst.2
E4;6_DM_SOst.3
F7;6_DM_SOst.4
B2;6_GephyronicAcidA.1
D5;6_GephyronicAcidA.2
F8;6_GephyronicAcidA.3
G2;6_GephyronicAcidA.4
C4;6_MeOH.1
C9;6_MeOH.2
E2;6_MeOH.3
E10;6_MeOH.4
B11;6_Monastrol.1
D4;6_Monastrol.2
F5;6_Monastrol.3
G9;6_Monastrol.4
C2;6_Neopeltolide.1
E8;6_Neopeltolide.2
F6;6_Neopeltolide.3
G10;6_Neopeltolide.4
B7;6_nichtfunktionstüchtig
C7;6_nichtfunktionstüchtig
D7;6_nichtfunktionstüchtig
B5;6_Puromycin.1
D9;6_Puromycin.2
F11;6_Puromycin.3
G5;6_Puromycin.4
B10;6_Taxol.1
D3;6_Taxol.2
E7;6_Taxol.3
G8;6_Taxol.4
C6;6_Vioprolide.1
C11;6_Vioprolide.2
E3;6_Vioprolide.3
E11;6_Vioprolide.4
