"";"RNGvector";"result.coleff"
"8_DMSO.1";0,123922025746998;-0,0263950216029208
"8_DMSO.2";0,105069477537038;-0,0511699258491088
"8_DMSO.3";0,117618862804973;0,0433689508758737
"8_DMSO.4";0,131433282643329;0,0278485637773323
"8_EpothiloneB.1";0,183320316239123;-0,0402241557725129
"8_EpothiloneB.2";0,183320316239123;0,0402241557725129
"8_GephyronicAcidA.1";0,210899460546479;0,0237828602149852
"8_GephyronicAcidA.2";0,210899460546479;-0,0237828602149852
"8_H89.1";0,56557406399513;-0,0092761127393956
"8_H89.2";0,56557406399513;0,0092761127393956
"8_Nocodazole.1";0,0797121216291276;0,0215459349369738
"8_Nocodazole.2";0,0797121216291276;-0,0215459349369738
"8_Oxamflatin.1";0,168144620053423;0,0321855935136183
"8_Oxamflatin.2";0,168144620053423;-0,0321855935136183
"8_PurvalanolA.1";0,178494942050093;0,0101138118241703
"8_PurvalanolA.2";0,122858102577834;-0,021133219258702
"8_PurvalanolA.3";0,206218027882993;-0,0110833999744447
"8_PurvalanolA.4";0,121547881380078;0,0227169761537499
"8_Scriptaid.1";0,0744288169922448;0,0130089545079018
"8_Scriptaid.2";0,0744288169922448;-0,0130089545079018
"8_Soraphen.1";0,0745450094402871;-0,0374559288915528
"8_Soraphen.2";0,0745450094402871;0,0374559288915528
"8_TubulysinB.1";0,0944744024547613;0,0113848484727669
"8_TubulysinB.2";0,0944744024547613;-0,0113848484727669
