"";"RNGvector";"result.coleff"
"12_A23187.1";0,494382483890414;-0,0863576450270304
"12_A23187.2";0,494382483890414;0,0863576450270304
"12_Alsterpaullone.1";0,240438184860909;-0,0725234877018944
"12_Alsterpaullone.2";0,240438184860909;0,0725234877018944
"12_Amanitin.1";0,195558645396095;0,0127096882429683
"12_Amanitin.2";0,195558645396095;-0,0127096882429683
"12_Aphidicolin.1";0,161241558250571;0,0637689270444293
"12_Aphidicolin.2";0,161241558250571;-0,0637689270444293
"12_Apicidin.1";0,178153847099579;0,0487996837906927
"12_Apicidin.2";0,178153847099579;-0,0487996837906927
"12_Apicularen.1";0,138937813431413;-0,0296596165487189
"12_Apicularen.2";0,138937813431413;0,0296596165487189
"12_ArgyrinA.1";0,145821075448078;-0,0355016316430533
"12_ArgyrinA.2";0,145821075448078;0,0355016316430533
"12_Camptothecin.1";0,155567450672942;0,0402710528949477
"12_Camptothecin.2";0,155567450672942;-0,0402710528949477
"12_Colchicine.1";0,322601037826142;0,126148584874423
"12_Colchicine.2";0,322601037826142;-0,126148584874423
"12_CyclosporinA.1";0,132252039585468;0,0021474013930142
"12_CyclosporinA.2";0,132252039585468;-0,0021474013930142
"12_Doxorubicin.1";0,218522396550882;0,0433350492594631
"12_Doxorubicin.2";0,218522396550882;-0,0433350492594631
"12_Emetine.1";0,167069160981693;0,00546492023116885
"12_Emetine.2";0,167069160981693;-0,00546492023116885
"12_Etoposide.1";0,24766731040011;-0,102266041482218
"12_Etoposide.2";0,24766731040011;0,102266041482218
"12_Indirubin3monoxime.1.1";0,265501505601054;0,037858791659393
"12_Indirubin3monoxime.1.2";0,265501505601054;-0,037858791659393
"12_Methotrexate.1";0,128194671430035;0,0574457231862235
"12_Methotrexate.2";0,128194671430035;-0,0574457231862235
"12_OkadaicAcid.1";0,229392218131802;-0,0174129197845516
"12_OkadaicAcid.2";0,229392218131802;0,0174129197845516
"12_Podophyllotoxin.1";0,105530461980806;0,0651037821683441
"12_Podophyllotoxin.2";0,105530461980806;-0,0651037821683441
"12_PurvalanolA.1";0,255106836055656;0,0139986085904416
"12_PurvalanolA.2";0,255106836055656;-0,0139986085904416
"12_RatjadonC.1";0,165557155415702;0,00776085930672116
"12_RatjadonC.2";0,165557155415702;-0,00776085930672116
"12_SaframycinMx1.1";0,21336085612805;-0,0614502324540792
"12_SaframycinMx1.2";0,21336085612805;0,0614502324540792
"12_SB202190.1";0,183252989572;-0,0103703926897675
"12_SB202190.2";0,183252989572;0,0103703926897675
"12_Trichostatin.1";0,158822063754213;0,00563281613922015
"12_Trichostatin.2";0,158822063754213;-0,00563281613922015
"12_DMSO.1";0,249165634870193;-0,0197460143029778
"12_DMSO.2";0,303526901089558;-0,0586220831644538
"12_DMSO.3";0,208545143950871;0,0635934570729068
"12_DMSO.4";0,17952002480084;0,0189412846887821
