"";"RNGvector";"result.coleff"
"9_Alsterpaullone.1";0,116940013781102;-0,0371810811159347
"9_Alsterpaullone.2";0,10708234887894;0
"9_Alsterpaullone.3";0,13737345414289;0,052472116032613
"9_Anisomycin.1";0,168652522435636;0,0495435431345862
"9_Anisomycin.2";0,130815727262812;-0,066557353189113
"9_Anisomycin.3";0,217634129033845;0
"9_Cycloheximide.1";0,060582533421648;0,00641034004646412
"9_Cycloheximide.2";0,0931612522631433;0
"9_Cycloheximide.3";0,190094077789957;-0,0140840612675596
"9_Doxorubicin.1";0,0751590708969034;0
"9_Doxorubicin.2";0,231826405815868;-0,101904294003415
"9_Doxorubicin.3";0,234954159646348;0,00726263157396423
"9_GephyronicAcidA.1";0,128282671022929;0
"9_GephyronicAcidA.2";0,133873783452095;0
"9_GephyronicAcidA.3";0,214852053015472;-0,0393627426879003
"9_Myriaporone.1";0,211175502985314;0,0229579398616642
"9_Myriaporone.2";0,285997286753298;-0,0574945527431784
"9_Myriaporone.2.1";0,107919211198498;0
"9_Nocadazole.1";0,216219912755713;-0,0591978559818288
"9_Nocadazole.2";0,0633331293030353;0
"9_Nocadazole.3";0,132865354349745;0,0350532243563328
"9_OkadaicAcid.1";0,239540314873497;0,101154745737136
"9_OkadaicAcid.2";0,462736795582551;-0,1414504161286
"9_OkadaicAcid.3";0,0700953674362457;0
"9_PD169316.1";0,0615588955231448;0
"9_PD169316.2";0,111702697432776;0
"9_PD169316.3";0,132404586184173;0,00422863660312534
"9_Podophyllotoxin.1";0,103710528190059;-0,0205831718482321
"9_Podophyllotoxin.2";0,117250261382782;0
"9_Podophyllotoxin.3";0,198318301092836;0,0764424698637207
"9_Puromycin.1";0,0957458680813061;-0,00278388191398296
"9_Puromycin.2";0,0957458680813061;0,00278388191398296
"9_RatjadonC.1";0,0921582663159477;0,0454968979898688
"9_RatjadonC.2";0,137377434703827;-0,024157180212513
"9_RatjadonC.3";0,0421254962606357;0
"9_SB203580.1";0,106623887253489;-0,0317578663352531
"9_SB203580.2";0,0954786696691856;0
"9_SB203580.3";0,117499345688571;0,0296279269654072
"9_Simvastatin.1";0,0882071763972095;0
"9_Simvastatin.2";0,195466467741948;-0,0604149097025781
"9_Simvastatin.3";0,121208160948168;0,0543979345435086
"9_Velcade.1";0,216740029259682;0
"9_Velcade.2";0,0604572426397241;0
"9_Velcade.3";0,260446510677745;0,027186652206282
"9_DMSO.1";0,0487414981759804;-0,0121013582986465
"9_DMSO.2";0,0956591645341103;-0,00728450855405033
"9_DMSO.3";0,0823064316013908;0,00777905959841001
"9_DMSO.4";0,135628880457644;0,0308883059419043
